study_word	test_words	reference	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	slider.response	slider.rt	test_2.started	text_2.started	textbox.started	submit_text.started	mouse.started	test_2.stopped	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
cruise				0	0	0	11					0.0989745		0.0362072	0.0989745	0.0989745	2.5561664	2.026666667	2.4765527															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
phone				0	1	1	2					2.5987373		2.5589036	2.5987373	2.5987373	4.0339348	1.96	1.4305852															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
keys				0	2	2	13					4.0651019		4.0344254	4.0651019	4.0651019	5.5215757	1	1.4427666															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
case				0	3	3	10					5.5486092		5.5219083	5.5486092	5.5486092	6.938813	2	1.3913015															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
t-shirt				0	4	4	7					6.9658963		6.9391031	6.9658963	6.9658963	8.4890865	1	1.52379															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
poster				0	5	5	14					8.5155853		8.4893717	8.5155853	8.5155853	10.4736445	1	1.9601112															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
marble				0	6	6	3					10.499123		10.4739585	10.499123	10.499123	11.5893224	1	1.0913305															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
board				0	7	7	4					11.6165795		11.5896026	11.6165795	11.6165795	13.3731714	1	1.740238															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
police				0	8	8	12					13.3996619		13.3735014	13.3996619	13.3996619	14.5901604	1	1.1923984															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
mouse				0	9	9	8					14.6163596		14.5904831	14.6163596	14.6163596	15.6406247	1	1.0098442															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
laptop				0	10	10	5					15.6666396		15.6409818	15.6666396	15.6666396	17.6732815	2	2.0074223															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
book				0	11	11	0					17.7002536		17.6735658	17.7002536	17.7002536	19.2239833	2.993333333	1.5276696															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
chart				0	12	12	6					19.2504648		19.2242725	19.2504648	19.2504648	20.0241842	2.993333333	0.7765782															39999	1	2024-11-07_11h29.28.154	word priming	2024.1.5	None	2024-11-07 11h29.37.652977 +0530
