reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	text.started	key_resp.started	fixation.stopped	trial.stopped	key_resp.keys	key_resp.rt	key_resp.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart				k		
67	75	119	0	1	1	5	16.5472334		16.5236821	16.5472334	17.5325062	17.5325062	17.5494456	18.2405292	l	0.7016422	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
11	30	7	0	2	2	0	18.2650438		18.2415536	18.2650438	19.249302	19.249302	19.2661641	20.3876706	l	1.1235829	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
78	80	162	0	3	3	6	20.4144037		20.3884255	20.4144037	21.3995837	21.3995837	21.416091	25.8883903	l	4.4863066	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
40	55	62	1	1	8	3	32.4830774		32.459364	32.4830774	33.4668378	33.4668378	33.4841374	33.639576	l	0.1645589	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
49	60	89	1	6	13	4	39.1502726		39.1249518	39.1502726	40.1504688	40.1504688	40.1680946	40.5572477	l	0.3989802	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
11	30	7	2	0	14	0	40.5838692		40.5581498	40.5838692	41.5685252	41.5685252	41.5853497	41.8735073	l	0.292788	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
49	60	89	2	3	17	4	45.0511279		45.0254622	45.0511279	46.0356804	46.0356804	46.0518362	46.3767101	l	0.3352894	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
67	75	119	3	0	21	5	55.1020805		55.0780794	55.1020805	56.0865395	56.0865395	56.1030218	56.575149	l	0.4857908	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
49	60	89	3	4	25	4	65.6370256		65.6266827	65.6370256	66.637445	66.637445	66.637445	69.5258293	l	2.8826681	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
11	30	7	3	5	26	0	69.5377607		69.5265244	69.5377607	70.5379084	70.5379084	70.5379084	76.1293195	l	5.5613783	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
40	55	62	4	5	33	3	96.2739994		96.2625793	96.2739994	97.2737718	97.2737718	97.2737718	101.1963037	l	3.9151217	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
