study_word	test	refrence	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	slider.response	slider.rt	test.started	text_2.started	textbox.started	text_3.started	mouse.started	test.stopped	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
laptop				0	0	0	0					0.0440567		0.021205	0.0440567	0.0440567	1.9821688	1	1.9377321															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
case				0	1	1	10					2.0098025		1.982576	2.0098025	2.0098025	2.6153469	1	0.6106057															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
poster				0	2	2	14					2.6428455		2.615631	2.6428455	2.6428455	4.8640652	4.846666667	2.225021															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
board				0	3	3	4					4.8920548		4.8643389	4.8920548	4.8920548	6.362926	3.04	1.4757337															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
cruise				0	4	4	11					6.3909593		6.3631931	6.3909593	6.3909593	7.6622689	3.9	1.2776798															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
pastry				0	5	5	9					7.690401		7.6625337	7.690401	7.690401	9.445127	4.966666667	1.7600042															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
police				0	6	6	12					9.472759		9.44541	9.472759	9.472759	10.7108201	1	1.2430013															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
marble				0	7	7	3					10.7385458		10.7110951	10.7385458	10.7385458	11.3606345	1	0.6278392															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
mouse				0	8	8	8					11.3880284		11.3609132	11.3880284	11.3880284	12.2437112	1	0.8608004															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
book				0	9	9	5					12.27124		12.2439936	12.27124	12.27124	13.1430397	1	0.8774347															284230	1	2024-11-07_11h33.23.560	priming	2024.1.5	None	2024-11-07 11h33.28.232526 +0530
