reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	text.started	key_resp.started	fixation.stopped	trial.stopped	key_resp.keys	key_resp.rt	key_resp.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart					k		
11	30	7	0	3	3	0	8.9058157		8.8943755	8.9058157	9.9058823	9.9058823	9.9058823	10.6293856	l	0.7107102	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
37	50	21	0	4	4	2	10.6544608		10.6303258	10.6544608	11.6396107	11.6396107	11.6560936	12.7146119	l	1.0687908	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
15	35	13	0	6	6	1	14.45429		14.4319349	14.45429	15.4393857	15.4393857	15.4563672	16.2966308	l	0.846145	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
11	30	7	1	2	9	0	20.1563765		20.1299837	20.1563765	21.1406504	21.1406504	21.1575311	21.9676927	l	0.8184097	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
15	35	13	1	3	10	1	21.9896906		21.9689411	21.9896906	22.9739486	22.9739486	22.9908587	23.8136745	l	0.8345177	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
49	60	89	1	4	11	4	23.839674		23.814348	23.839674	24.8398545	24.8398545	24.857557	26.2620192	l	1.4185581	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.002522357		
37	50	21	1	6	13	2	30.4738566		30.4542041	30.4738566	31.4738409	31.4738409	31.4911226	32.2490217	l	0.7674927	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
15	35	13	2	1	15	1	34.007498		33.9837889	34.007498	34.9924312	34.9924312	35.0083137	35.880679	l	0.884903	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
40	55	62	2	4	18	3	42.425173		42.4023226	42.425173	43.4251907	43.4251907	43.4429178	44.8177404	l	1.3764201	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.006048387		
37	50	21	2	5	19	2	44.8420171		44.8189268	44.8420171	45.826672	45.826672	45.8431716	46.9486482	l	1.1127763	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
11	30	7	2	6	20	0	46.9755773		46.949395	46.9755773	47.959972	47.959972	47.9770524	48.9820551	l	1.0183665	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
49	60	89	3	0	21	4	49.0090304		48.9828173	49.0090304	50.0096831	50.0096831	50.0272355	50.9844577	l	0.9658835	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.002522357		
37	50	21	3	1	22	2	51.0094129		50.9859136	51.0094129	52.0095273	52.0095273	52.0270565	52.8652324	l	0.8470246	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
40	55	62	3	2	23	3	52.8771351		52.865906	52.8771351	53.8770915	53.8770915	53.8770915	54.9008296	l	1.0206857	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.006048387		
67	75	119	3	3	24	5	54.9263151		54.901599	54.9263151	55.9109412	55.9109412	55.92799	56.8995094	l	0.9715076	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.001003386		
11	30	7	3	4	25	0	56.9264143		56.9002759	56.9264143	57.9267613	57.9267613	57.9444437	58.8506856	l	0.9164208	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
15	35	13	3	6	27	1	60.6448496		60.6336268	60.6448496	61.6770344	61.6770344	61.6770344	62.5672348	l	0.8829736	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
11	30	7	4	1	29	0	64.7604232		64.7367374	64.7604232	65.7607143	65.7607143	65.7785835	66.5694987	l	0.7955037	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
37	50	21	4	2	30	2	66.5940393		66.5704688	66.5940393	67.5790634	67.5790634	67.5948539	68.5862482	l	0.9981018	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
49	60	89	4	3	31	4	68.6109814		68.5872597	68.6109814	69.6112103	69.6112103	69.6290764	71.3847293	l	1.7588806	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.002522357		
40	55	62	4	4	32	3	71.4115391		71.3855084	71.4115391	72.3955524	72.3955524	72.4126784	73.4010435	l	0.9910203	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.006048387		
15	35	13	4	6	34	1	78.3633713		78.3521479	78.3633713	79.3633738	79.3633738	79.3633738	83.0853935	l	3.7116651	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
11	30	7	5	3	38	0	90.3298269		90.30575	90.3298269	91.3146076	91.3146076	91.3310504	91.970136	l	0.654161	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
37	50	21	5	5	40	2	93.7642388		93.7376439	93.7642388	94.7638085	94.7638085	94.7816358	95.7702804	l	0.99902	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
15	35	13	5	6	41	1	95.781925		95.7710566	95.781925	96.7818331	96.7818331	96.7818331	97.5560465	l	0.7663576	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
37	50	21	6	0	42	2	97.5807157		97.5569125	97.5807157	98.5654353	98.5654353	98.5818471	99.6541042	l	1.0854355	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
11	30	7	6	3	45	0	103.2653499		103.2549436	103.2653499	104.2663449	104.2663449	104.2663449	105.1377317	l	0.8637532	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
15	35	13	6	6	48	1	109.0486084		109.0256347	109.0486084	110.0330153	110.0330153	110.0499481	110.8892831	l	0.8484988	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
49	60	89	7	1	50	4	112.8658447		112.8406608	112.8658447	113.865698	113.865698	113.8835428	115.0413278	l	1.1643038	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.002522357		
11	30	7	7	2	51	0	115.0657826		115.0422688	115.0657826	116.0658752	116.0658752	116.0831762	116.8724065	l	0.7975739	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
15	35	13	7	3	52	1	116.89925		116.8731412	116.89925	117.8838894	117.8838894	117.9003967	118.8762749	l	0.9848576	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
40	55	62	7	5	54	3	120.8838149		120.873146	120.8838149	121.8847297	121.8847297	121.8847297	122.9926972	l	1.103243	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.006048387		
37	50	21	7	6	55	2	123.0167446		122.993648	123.0167446	124.000999	124.000999	124.0176372	125.1928722	l	1.1901102	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
11	30	7	8	0	56	0	125.217114		125.1939575	125.217114	126.2014461	126.2014461	126.2174806	127.1570422	l	0.9454985	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
37	50	21	8	4	60	2	132.8011396		132.7785551	132.8011396	133.7858258	133.7858258	133.8019662	134.6733557	l	0.8787583	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
15	35	13	8	6	62	1	136.6516016		136.6288651	136.6516016	137.6515176	137.6515176	137.6694549	138.5573223	l	0.8942486	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
37	50	21	9	1	64	2	140.7850369		140.7586122	140.7850369	141.7852158	141.7852158	141.8032414	142.8445844	l	1.0410829	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
15	35	13	9	4	67	1	146.5363423		146.5261526	146.5363423	147.5536898	147.5536898	147.5536898	148.4621658	l	0.8995507	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
11	30	7	9	6	69	0	151.7194555		151.6931389	151.7194555	152.7042531	152.7042531	152.7207845	153.3606083	l	0.6465822	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
37	50	21	10	1	71	2	155.2366952		155.2116969	155.2366952	156.2206058	156.2206058	156.2376057	157.8803173	l	1.653994	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
49	60	89	10	2	72	4	157.9035739		157.881561	157.9035739	158.8876759	158.8876759	158.9045873	160.059676	l	1.1684716	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.002522357		
15	35	13	10	4	74	1	161.9538764		161.9318982	161.9538764	162.9382661	162.9382661	162.9556247	163.9600984	l	1.0110923	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
11	30	7	10	6	76	0	166.4876981		166.4616918	166.4876981	167.4724354	167.4724354	167.4893851	168.2108074	l	0.7310477	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
11	30	7	11	0	77	0	168.2224309		168.2115529	168.2224309	169.2223608	169.2223608	169.2223608	170.0447141	l	0.8079125	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.246753247		
15	35	13	11	1	78	1	170.0717205		170.0454694	170.0717205	171.0557376	171.0557376	171.0725104	171.7978516	l	0.7254963	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.102564103		
40	55	62	11	5	82	3	177.9554088		177.9298867	177.9554088	178.9402614	178.9402614	178.9565731	180.5828966	l	1.6396571	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.006048387		
37	50	21	11	6	83	2	180.6054617		180.5840932	180.6054617	181.5901911	181.5901911	181.6072857	182.8785226	l	1.2743515	None	512591	1	2024-11-21_14h19.28.265	delay discounting	2024.1.5	None	2024-11-21 14h19.36.042501 +0530					0.016731017		
