key_resp.keys,key_resp.corr,tilt,,,HIT,MISS,FALSE ALARM,CORRECT REJECTION
up,0,-4,,,,,,1
up,1,0,,,1,,,
up,0,-4,,,,,,1
up,1,0,,,1,,,
up,0,1,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,-3,,,,,,1
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,-2,,,,,,1
down,0,0,,,,1,,
up,1,0,,,1,,,
up,0,-2,,,,,1,
up,0,2,,,,,1,
up,0,-3,,,,,1,
up,1,0,,,1,,,
up,0,3,,,,,1,
up,1,0,,,1,,,
up,0,3,,,,,1,
up,0,-2,,,,,1,
up,0,-4,,,,,1,
up,1,0,,,1,,,
up,0,1,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,2,,,,,1,
up,0,3,,,,,1,
up,0,-4,,,,,1,
up,0,1,,,,,1,
up,0,1,,,,,1,
up,1,0,,,1,,,
up,0,3,,,,,1,
up,0,1,,,,,1,
up,0,2,,,,,1,
up,0,-4,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,-4,,,,,1,
up,1,0,,,1,,,
up,0,1,,,,,1,
up,0,3,,,,,1,
up,1,0,,,1,,,
up,0,-2,,,,,1,
up,0,-5,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,3,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,-3,,,,,1,
up,0,-5,,,,,1,
up,0,1,,,,,1,
up,0,2,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,-2,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,-4,,,,,1,
up,0,2,,,,,1,
up,0,-2,,,,,1,
down,1,-4,,,,,,1
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,-2,,,,,1,
up,1,0,,,1,,,
up,1,0,,,1,,,
up,0,2,,,,,1,
up,0,-5,,,,,1,
down,0,0,,,,1,,
down,1,4,,,,,,1
down,0,0,,,,1,,
down,1,-5,,,,,,1
down,0,0,,,,1,,
down,0,0,,,,1,,
down,1,3,,,,,,1
down,0,0,,,,1,,
up,1,0,,,1,,,
up,0,1,,,,,,1
down,0,0,,,,1,,
up,0,2,,,,,1,
up,0,-4,,,,,1,
up,1,0,,,1,,,
up,0,-2,,,,,1,
down,1,-5,,,,,,1
down,0,0,,,,1,,
,,,,,44,8,38,10
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,prop hit=hit/hit+mess ,,,,
,,,,0.846153846,,,,
,,,,,,,,
,,,,prop fa = fa/fa+corr rejection,,,,
,,,,0.791666667,,,,
,,,,,,,,
,,,,d prime = z(prop hit)-z(prop fa),,,,
,,,,0.207858431,,,,
,,,,,,,,
,,,,criterion = -z(prop hit)+ z(prop fa)/2 ,,,,
,,,,-1.426185134,,,,
